Local Council,Last Updated,Published,Submitted,Found Sound,Adopted
Middlesbrough Borough Council - Housing Local Plan,Dec-14,Nov-13,Mar-14,Oct-14,Nov-14
Middlesbrough Borough Council,Dec-18,Nov-18,,,
Milton Keynes Council,Jul-13,Feb-10,Mar-11,May-13,Jul-13
Milton Keynes Council (Plan:MK),Apr-19,Nov-17,Mar-18,Feb-19,Mar-19
Mole Valley District Council,Dec-10,Nov-08,Feb-09,Jul-09,Oct-09
New Forest District Council,Dec-10,Nov-08,Feb-09,Sep-09,Oct-09
New Forest District Council,Dec-18,Jun-18,Nov-18,,
New Forest National Park Authority,Dec-10,Feb-10,May-10,Oct-10,Dec-10
New Forest National Park Authority,Jun-18,Jan-18,May-18,,
Newark and Sherwood District Council,Mar-11,Apr-10,Jul-10,Mar-11,Mar-11
Newark and Sherwood District Council Core Strategy Review,Apr-19,Jul-17,Sep-17,Feb-19,Mar-19
Newcastle under Lyme Borough Council,Dec-10,Aug-08,Dec-08,Jun-09,Oct-09
Newcastle Upon Tyne City Council,Apr-15,Sep-13,Feb-14,Feb-15,Mar-15
"Newham, London Borough of",Mar-12,Feb-11,Mar-11,Jan-12,Jan-12
"Newham, London Borough of (Local Plan Review)",Jan-19,Nov-17,Feb-18,Nov-18,Dec-18
North Devon District Council,Nov-18,Jun-14,Jun-16,Sep-18,Oct-18
North Dorset District Council,Feb-16,Nov-13,Dec-14,Dec-15,Jan-16
North East Derbyshire District Council,Jun-18,Feb-18,May-18,,
North East Lincolnshire Borough Council,Apr-18,Feb-16,Dec-16,Feb-18,Mar-18
North Hertfordshire District Council,Jun-17,Oct-16,Jun-17,,
North Kesteven District Council,May-17,Apr-16,Jun-16,Apr-17,Apr-17
North Lincolnshire Council,Jul-11,May-10,Aug-10,May-11,Jun-11
North Norfolk District Council,Dec-10,Jun-07,Jun-07,Jul-08,Sep-08
North Somerset Council,Mar-12,Feb-11,Jul-11,Mar-12,Apr-12
North Somerset Council - Core Strategy re-opened,Jun-17,NA,Jun-13,Mar-15,Sep-15
North Somerset Council - Consequential changes,Mar-17,NA,Jan-16,Nov-16,Jan-17
North Somerset Council (West of England JSP),May-18,Nov-17,Apr-18,,
North Tyneside Metropolitan Borough Council,Jul-17,Nov-15,Jun-16,May-17,Jul-17
North Warwickshire Borough Council,Oct-14,Nov-12,Feb-13,Sep-14,Oct-14
North Warwickshire Borough Council,Apr-18,Dec-17,Mar-18,,
North West Leicestershire District Council,Dec-17,Jul-16,Oct-16,Oct-17,Nov-17
North York Moors National Park,Dec-10,Jan-08,Jan-08,Oct-08,Nov-08
North York Moors National Park,May-19,Apr-19,,,
Northampton Borough Council,Jan-15,Feb-11,Dec-12,Oct-14,Dec-14
Northumberland Council,Feb-19,Jan-19,,,
Northumberland National Park,Dec-10,Jun-08,Jun-08,Feb-09,Mar-09
Norwich City Council,Mar-11,Nov-09,Mar-10,Feb-11,Mar-11
Norwich City Council (Revision),Nov-13,Aug-12,Feb-13,Nov-13,Jan-14
Nottingham City Council,Sep-14,Jun-12,Jun-13,Jul-14,Sep-14
Nuneaton and Bedworth Borough Council,May-19,Jan-17,Jun-17,Apr-19,
Oadby and Wigston Borough Council,Dec-10,Oct-09,Jan-10,Aug-10,Sep-10
Oadby and Wigston Borough Council (New Local Plan),May-19,Nov-17,Jan-18,Mar-19,Apr-19
Old Oak and Park Royal Development Corporation,Nov-18,Jun-18,Oct-18,,
Oldham Metropolitan Borough Council,Dec-11,Oct-10,Feb-11,Aug-11,Nov-11
Oxford City Council,Mar-11,Sep-08,Nov-08,Dec-10,Mar-11
Oxford City Council (2016-36 review),Apr-19,Nov-18,Mar-19,,
Peak National Park,Dec-11,Sep-10,Dec-10,Jul-11,Oct-11
Pendle Borough Council,Jan-16,Oct-14,Dec-14,Oct-15,Dec-15
Peterborough City Council,Mar-11,Jan-10,Apr-10,Dec-10,Feb-11
Peterborough City Council,May-19,Jan-18,Mar-18,Apr-19,
Plymouth City Council,Dec-10,Aug-06,Aug-06,Apr-07,Apr-07
"Plymouth City Council, Plymouth & South West Devon Plan",Apr-19,Mar-17,Jul-17,Mar-19,Mar-19
"Poole, Borough of",Dec-10,May-08,May-08,Jan-09,Feb-09
"Poole, Borough of",Dec-18,Jul-17,Nov-17,Oct-18,Nov-18
Portsmouth City Council,Mar-12,Apr-11,Jul-11,Jan-12,Jan-12
Preston Borough Council,Jul-12,Dec-10,Mar-11,Jun-12,Jul-12
Purbeck District Council,Nov-12,Nov-10,Jan-12,Oct-12,Nov-12
Purbeck District Council,Feb-19,Oct-18,Jan-19,,
Reading Borough Council,Dec-10,Jan-07,Jan-07,Dec-07,Jan-08
Reading Borough Council,Apr-18,Nov-17,Mar-18,,
"Redbridge, London Borough of",Dec-10,Jan-07,Jan-07,Feb-08,Mar-08
"Redbridge, London Borough of (Local Plan 2015-2030)",Apr-18,Jul-16,Mar-17,Jan-18,Mar-18
Redcar & Cleveland Borough Council,Dec-10,May-06,May-06,May-07,Jul-07
Redcar & Cleveland Borough Council,Jun-18,Dec-16,Apr-17,Mar-18,May-18
Redditch Borough Council,Feb-17,Sep-13,Mar-14,Dec-16,Jan-17
Reigate & Banstead District Council,Feb-14,Mar-12,May-12,Jan-14,Jul-14
Ribble Valley Borough Council,Jan-15,May-12,Sep-12,Nov-14,Dec-14
"Richmond Upon Thames, London Borough of",Dec-10,Mar-08,Mar-08,Feb-09,Apr-09
"Richmond Upon Thames, London Borough of",Aug-18,Jan-17,May-17,Apr-18,Jul-18
Richmondshire District Council,Jan-15,Aug-12,Feb-13,Oct-14,Dec-14
Rochdale Metropolitan Borough Council,Nov-16,Jan-13,May-13,Aug-16,Oct-16
Rochford District Council,Mar-12,Sep-09,Jan-10,Oct-11,Dec-11
Rossendale Borough Council,Dec-11,Sep-10,Dec-10,Oct-11,Nov-11
Rossendale Borough Council,May-19,Aug-18,Mar-19,,
Rother District Council,Oct-14,Aug-11,Jul-12,Jul-14,Sep-14
Rotherham Metropolitan Borough Council,Sep-14,Jun-12,Jun-13,Jun-14,Sep-14
Rugby Borough Council,Jul-11,Jul-09,Jan-10,May-11,Jun-11
Rugby Borough Council,Apr-19,Sep-16,Jul-17,Mar-19,
Runnymede Borough Council,Aug-18,May-18,Jul-18,,
Rushcliffe Borough Council,Jan-15,Mar-12,Oct-12,Dec-14,Dec-14
Rushmoor Borough Council,Dec-11,Nov-10,Mar-11,Sep-11,Oct-11
Rushmoor Borough Council,Mar-19,Jun-17,Feb-18,Jan-19,Feb-19
Rutland Council,Jul-11,Aug-10,Nov-10,May-11,Jul-11
Ryedale District Council,Sep-13,Jan-12,May-12,Aug-13,Sep-13
Salford Council,Jun-13,,,,
Sandwell Metropolitan Borough Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
Scarborough Borough Council,Jul-17,Nov-15,May-16,Feb-17,Jul-17
Sedgemoor District Council,Dec-11,Sep-10,Mar-11,Sep-11,Oct-11
Sedgemoor District Council - Local Plan,Mar-19,Jan-17,Aug-17,Jan-19,Feb-19
Sefton Metropolitan Borough Council,May-17,Jan-15,Aug-15,Mar-17,Apr-17
Selby District Council,Nov-13,Jan-11,May-11,Jun-13,Oct-13
Sevenoaks District Council,Mar-11,Feb-10,Jun-10,Jan-11,Feb-11
Sevenoaks District Council,May-19,Dec-18,Apr-19,,
Sheffield City Council,Dec-10,Sep-07,Sep-07,Feb-09,Mar-09
Shropshire Council,Mar-11,Feb-10,Jul-10,Feb-11,Feb-11
Slough Borough Council,Dec-10,Nov-07,Nov-07,Aug-08,Dec-08
Solihull Metropolitan Borough Council,Dec-13,Jan-12,Sep-12,Nov-13,Dec-13
South Buckinghamshire District Council,Mar-11,Mar-10,Jul-10,Jan-11,Feb-11
South Cambridgeshire District Council,Dec-10,Jan-06,Jan-06,Nov-06,Jan-07
South Cambridgeshire District Council - Local Plan,Oct-18,Jul-13,Mar-14,Aug-18,Sep-18
South Derbyshire District Council,Jul-16,Mar-14,Aug-14,May-16,Jun-16
South Downs National Park,May-18,Sep-17,Apr-18,,
South Gloucestershire Council,Dec-13,Jun-10,Mar-11,Nov-13,Dec-13
South Gloucestershire Council (West of England JSP),May-18,Nov-17,Apr-18,,
South Hams District Council,Dec-10,Jan-06,Jan-06,Nov-06,Dec-06
"South Hams District Council, Plymouth & SW Devon Plan",Apr-19,Mar-17,Jul-17,Mar-19,Mar-19
South Holland District Council (South East Lincs Local Plan),Apr-19,Apr-17,Jun-17,Jan-19,Mar-19
South Kesteven District Council,Dec-10,Jan-09,Aug-09,Jun-10,Jul-10
South Kesteven District Council,Feb-19,Jun-18,Jan-19,,
South Lakeland District Council,Dec-10,Aug-09,Nov-09,Aug-10,Oct-10
South Norfolk Council,Mar-11,Nov-09,Mar-10,Feb-11,Mar-11
South Norfolk Council (Revision),Nov-13,Aug-12,Feb-13,Nov-13,Jan-14
South Northamptonshire Council,Jan-15,Feb-11,Dec-12,Oct-14,Dec-14
South Oxfordshire District Council,Jan-13,Dec-10,Mar-11,Oct-12,Dec-12
South Oxfordshire District Council,Apr-19,Jan-19,Mar-19,,
South Ribble Borough Council,Jul-12,Dec-10,Mar-11,Jun-12,Jul-12
South Somerset District Council,Apr-15,Jun-12,Jan-13,Jan-15,Mar-15
South Staffordshire District Council,Dec-12,Mar-11,Sep-11,Oct-12,Dec-12
South Tyneside Metropolitan Borough Council,Dec-10,Mar-06,Mar-06,Apr-07,Jun-07
Southampton City Council,Dec-10,Dec-08,Mar-09,Oct-09,Jan-10
Southampton City Council (Partial review),Apr-15,Sep-13,Dec-13,Dec-14,Mar-15
Southend-on-Sea Borough Council,Dec-10,Aug-06,Aug-06,Oct-07,Dec-07
"Southwark, London Borough of",Jan-11,Jan-10,Mar-10,Feb-11,Apr-11
"Southwark, London Borough of - New Southwark Plan",Jan-18,Jan-18,,,
Spelthorne Borough Council,Dec-10,Jun-07,Jun-07,Dec-08,Feb-09
St Albans Council,Apr-19,Sep-18,Mar-19,,
St Edmundsbury Borough Council,Dec-10,Aug-09,Jan-10,Aug-10,Dec-10
St Helens Metropolitan Borough Council,Nov-12,Jan-11,May-11,Oct-12,Oct-12
St Helens Metropolitan Borough Council,Feb-19,Jan-19,,,
Stafford Borough Council,Jun-14,Jan-13,Aug-13,Jun-14,Jun-14
Staffordshire Moorlands District Council,Mar-14,Dec-11,Sep-12,Jan-14,Mar-14
Staffordshire Moorlands District Council,Jul-18,Feb-18,Jun-18,,
Stevenage Borough Council,Oct-17,Jan-16,Jul-16,Oct-17,
Stockport Metropolitan Borough Council,Mar-11,Jun-10,Aug-10,Feb-11,Mar-11
Stockton-on-Tees Borough Council,Dec-10,Oct-08,May-09,Feb-10,Mar-10
Stockton-on-Tees Borough Council ,Feb-19,Sep-17,Dec-17,Dec-18,Jan-19
Stoke on Trent City Council,Dec-10,Aug-08,Dec-08,Jun-09,Oct-09
Stratford on Avon District Council,Jul-16,Jun-14,Sep-14,Jun-16,Jul-16
Stroud District Council,Dec-15,Sep-13,Dec-13,Nov-15,Nov-15
Suffolk Coastal District Council,Jul-13,Jan-12,May-12,Jun-13,Jul-13
Suffolk Coastal District Council,Apr-19,Jan-19,Mar-19,,
Sunderland City Council,Jan-19,Jun-18,Dec-18,,
Surrey Heath Borough Council,Mar-12,Aug-10,Oct-10,Jan-12,Feb-12
"Sutton, London Borough of",Dec-10,Nov-08,Mar-09,Sep-09,Dec-09
"Sutton, London Borough of",Mar-18,Jan-17,Apr-17,Jan-18,Feb-18
Swale Borough Council,Sep-17,Dec-14,Apr-15,Jun-17,Jul-17
Swindon Borough Council,Apr-15,Dec-12,Jun-13,Feb-15,Mar-15
Tameside Metropolitan Borough Council,Dec-10,,,,
Tamworth Borough Council,Mar-16,Oct-14,Feb-15,Feb-16,Feb-16
Tandridge District Council,Dec-10,Dec-07,Jan-08,Sep-08,Oct-08
Tandridge District Council,Feb-19,Jul-18,Jan-19,,
Taunton Deane Borough Council,Sep-12,Jul-11,Nov-11,Jul-12,Sep-12
Teignbridge District Council,May-14,Nov-12,Jun-13,Apr-14,May-14
Telford and Wrekin Council,Dec-10,Oct-06,Oct-06,Nov-07,Dec-07
Telford and Wrekin Council ,Feb-18,Feb-16,Jun-16,Nov-17,Jan-18
Tendring District Council (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
Test Valley Borough Council,Feb-16,Jan-14,Jul-14,Dec-15,Jan-16
Tewkesbury Borough Council,Jan-18,Jun-14,Nov-14,Oct-17,Dec-17
Thanet District Council,Nov-18,Aug-18,Oct-18,,
Three Rivers District Council,Dec-11,Jun-10,Feb-11,Sep-11,Oct-11
Thurrock Council,Dec-11,Feb-10,Apr-10,Dec-11,Dec-11
Thurrock Council (Review),Feb-15,May-13,Jul-13,Oct-14,Jan-15
Tonbridge and Malling Borough Council,Dec-10,Aug-06,Aug-06,Aug-07,Sep-07
Tonbridge and Malling Borough Council,Feb-19,Oct-18,Jan-19,,
Torbay Council,Jan-16,Feb-14,Jul-14,Oct-15,Dec-15
Torridge District Council,Nov-18,Jun-14,Jun-16,Sep-18,Oct-18
"Tower Hamlets, London Borough of",Dec-10,Sep-09,Dec-09,Jul-10,Sep-10
"Tower Hamlets, London Borough of - Local Plan",Mar-18,Oct-17,Feb-18,,
Trafford Metropolitan Borough Council,Mar-12,Sep-10,Dec-10,Nov-11,Jan-12
Tunbridge Wells Borough Council,Dec-10,Apr-09,Aug-09,Apr-10,Jun-10
Uttlesford District Council,Feb-19,Jun-18,Jan-19,,
Vale of White Horse District Council,Jan-17,Nov-14,Mar-15,Nov-16,Dec-16
Wakefield Council,Dec-10,Jan-08,Jan-08,Mar-09,Apr-09
Walsall Metropolitan Borough Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
"Waltham Forest, London Borough of",Dec-11,Jan-11,May-11,Dec-11,Mar-12
"Wandsworth, London Borough of",Dec-10,Aug-08,Mar-09,Jun-10,Oct-10
"Wandsworth, London Borough of - Local Plan review",Apr-16,Oct-14,Mar-15,Dec-15,Mar-16
Warrington Borough Council,Jul-14,May-12,Sep-12,May-14,Jul-14
"Warrington Borough Council, Local Plan 2017-2037",May-19,Apr-19,,,
Warwick District Council,Sep-17,May-14,Jan-15,Jul-17,Sep-17
Watford Borough Council,Feb-13,May-11,Feb-12,Nov-12,Jan-13
Waveney District Council,Dec-10,Feb-08,Feb-08,Dec-08,Jan-09
Waveney District Council,Apr-19,Mar-18,Jun-18,Mar-19,Mar-19
Waverley Borough Council,Mar-18,Aug-16,Dec-16,Feb-18,Feb-18
Wealden District Council,Feb-13,Feb-11,Aug-11,Oct-12,Nov-12
Wealden District Council,Feb-19,Aug-18,Jan-19,,
Wellingborough Borough Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
Wellingborough Borough Council - first review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
Welwyn Hatfield District Council,Jun-17,Aug-16,May-17,,
West Berkshire District Council,Jul-12,Apr-10,Jul-10,Jul-12,Jul-12
West Devon Borough Council,Mar-11,May-09,Jul-10,Mar-11,Apr-11
"West Devon Borough Council, Plymouth & SW Devon Plan",Apr-19,Mar-17,Jul-17,Mar-19,Mar-19
West Dorset District Council,Jan-16,Jun-12,Jun-13,Aug-15,Oct-15
West Lancashire District Council,Oct-13,Aug-12,Oct-12,Sep-13,Oct-13
West Lindsey District Council,May-17,Apr-16,Jun-16,Apr-17,Apr-17
West Oxfordshire District Council,Nov-18,Mar-15,Jul-15,Aug-18,Sep-18
West Somerset District Council,Dec-16,Feb-15,Jul-15,Sep-16,Nov-16
"Westminster, City of",Jan-11,Nov-09,Apr-10,Nov-10,Jan-11
"Westminster, City of (NPPF Revision)",Nov-13,Jul-12,Jan-13,Aug-13,Nov-13
Weymouth and Portland Borough Council,Jan-16,Jun-12,Jun-13,Aug-15,Oct-15
Wigan Metropolitan Borough Council,Aug-13,Feb-11,Sep-11,Aug-13,Sep-13
Wiltshire Council,Feb-15,Feb-12,Jul-12,Dec-14,Jan-15
Winchester City Council (inc South Downs NPA),Apr-13,Jan-12,Jun-12,Feb-13,Mar-13
"Windsor & Maidenhead, Royal Borough of",Feb-18,Jun-17,Jan-18,,
Wirral Metropolitan Borough Council,Jan-13,,,,
Woking Borough Council,Nov-12,Jul-11,Dec-11,Jul-12,Oct-12
Wokingham District Council,Dec-10,Aug-08,Aug-08,Oct-09,Jan-10
Wolverhampton City Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
Worcester City Council,Mar-16,Jan-13,May-13,Feb-16,Feb-16
Worthing Borough Council,Mar-11,Apr-10,Jul-10,Mar-11,Apr-11
Wychavon District Council,Mar-16,Jan-13,May-13,Feb-16,Feb-16
Wycombe District Council,Dec-10,Apr-06,Apr-06,May-08,Jul-08
Wycombe District Council,Apr-18,Oct-17,Mar-18,,
Wyre Borough Council,Mar-19,Sep-17,Jan-18,Feb-19,Feb-19
Wyre Forest District Council,Dec-10,Jan-10,Apr-10,Oct-10,Dec-10
Wyre Forest District Council - Local plan Review,Nov-18,Nov-18,,,
York City Council,Jun-18,Feb-18,May-18,,
Yorkshire Dales National Park,Jan-17,Jul-15,Jan-16,Dec-16,Dec-16
